Nome_Senador,Partido,Fala
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Estado do Rio Grande do Norte, Senador Rogerio Marinho."
O SR. ROGERIO MARINHO,Bloco Parlamentar Vanguarda/PL - RN,"Com as bênçãos de Deus, em respeito ao povo do Rio Grande do Norte, pela democracia e pelo Brasil, assim o prometo."
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Estado de Santa Catarina, Senador Jorge Seif."
O SR. JORGE SEIF,Bloco Parlamentar Vanguarda/PL - SC,"Em nome de Deus, em nome da Constituição Federal, em nome do povo do estado da minha santa e bela Catarina, assim o prometo."
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Estado de Alagoas, Senador Renan Filho."
O SR. RENAN FILHO,Bloco Parlamentar Unidos pelo Brasil/MDB - AL,"Pelo povo alagoano e pela minha querida Alagoas, assim o prometo."
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Estado de Sergipe, Senador Laércio Oliveira."
O SR. LAÉRCIO OLIVEIRA,Bloco Parlamentar Unidos pelo Brasil/PP - SE,"Pela família, pelo povo querido de Sergipe, assim o prometo."
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Estado do Amazonas, Senador Omar Aziz."
O SR. OMAR AZIZ,Bloco Parlamentar PSD/Republicanos/PSD - AM,"Sr. Presidente, pelos ribeirinhos, pelos caboclos, pelos índios, pelos homens e mulheres do Amazonas e do Brasil, assim o prometo."
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Estado do Paraná, Senador Sergio Moro."
O SR. SERGIO MORO,Bloco Parlamentar União Cristã/UNIÃO - PR,"Pela população paranaense e pela Justiça, assim o prometo."
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Estado do Acre, Senador Alan Rick."
O SR. ALAN RICK,Bloco Parlamentar União Cristã/UNIÃO - AC. Como Relator.,"Para honrar o meu povo amado do Estado do Acre, em defesa da vida e da família e com a graça de Deus, assim o prometo."
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Distrito Federal, Senadora Damares Alves."
A SRA. DAMARES ALVES,Bloco Parlamentar PSD/Republicanos/REPUBLICANOS - DF,"Pelo Distrito Federal, pela autonomia e prosperidade do Distrito Federal, e, em nome do Senhor Jesus Cristo, assim o prometo."
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Estado do Mato Grosso do Sul, Senadora Tereza Cristina Corrêa."
A SRA. TEREZA CRISTINA CORRÊA,Bloco Parlamentar Unidos pelo Brasil/PP - MS,"Pelo Mato Grosso do Sul, pelo Brasil, assim o prometo."
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Estado de Rondônia, Senador Jaime Bagattoli."
O SR. JAIME BAGATTOLI,Bloco Parlamentar Vanguarda/PL - RO,"Pelo Estado de Rondônia, pela democracia, pela liberdade, assim eu prometo."
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Estado do Tocantins, Senadora Professora Dorinha Seabra."
A SRA. PROFESSORA DORINHA SEABRA,Bloco Parlamentar União Cristã/UNIÃO - TO,"Pelo meu País, pelo meu Estado do Tocantins e acreditando sempre na educação, assim o prometo."
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Estado do Amapá, Senador Davi Alcolumbre."
O SR. DAVI ALCOLUMBRE,Bloco Parlamentar União Cristã/UNIÃO - AP,"Meu agradecimento a Deus pela saúde, meu agradecimento ao meu Amapá, meu agradecimento ao povo amapaense, assim o prometo."
O SR. ROGÉRIO CARVALHO,Bloco Parlamentar da Resistência Democrática/PT - SE,"Pelo Estado de Roraima, Senador Dr. Hiran."
O SR. DR. HIRAN,Bloco Parlamentar Unidos pelo Brasil/PP - RR,"Por Roraima, pelos roraimenses, pela paz social e pelo progresso do Brasil, assim o prometo."
O SR. PRESIDENTE,Rodrigo Pacheco. Bloco Parlamentar PSD/Republicanos/PSD - MG,Peço que se coloquem em posição de respeito.
O SR. PRESIDENTE,Rodrigo Pacheco. Bloco Parlamentar PSD/Republicanos/PSD - MG,"Declaro investidos no mandato de Senador da República as Senadoras e os Senadores eleitos em 2 de outubro de 2022 que acabaram de prestar o compromisso regimental. (Palmas.) Em cumprimento ao art. 7º do Regimento Interno, foram encaminhadas à Mesa declarações do nome parlamentar e da filiação partidária, que serão publicadas no Diário do Senado Federal. Assim, para fins de cálculo da proporcionalidade partidária, comunico a representação dos partidos políticos no Senado Federal. Partido Social Democrático (PSD), quinze Senadores; Partido Liberal (PL), doze Senadores; Movimento Democrático Brasileiro (MDB), dez Senadores; Partido dos Trabalhadores (PT), nove Senadores; União Brasil, nove Senadores; Progressistas, seis Senadores; Podemos, cinco Senadores; Partido Socialista Brasileiro (PSB), quatro Senadores; Republicanos, quatro Senadores; Partido Democrático Trabalhista (PDT), três Senadores; Partido da Social Democracia Brasileira (PSDB), três Senadores; Rede Sustentabilidade, um Senador. A Presidência convoca as Senadoras e os Senadores para a segunda reunião preparatória, a realizar-se às 16h, neste Plenário, destinada à eleição e posse do Presidente do Senado Federal que exercerá o mandato no biênio 2023-2024. Está encerrada a reunião."
