Data,Notas URL
13/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25527
14/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25528
15/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25597
15/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25529
16/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25530
19/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25504
19/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25531
20/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25544
20/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25532
21/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25617
21/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25533
23/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25550
26/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25547
26/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25536
27/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25537
28/06/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25538
03/07/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25598
04/07/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25602
05/07/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25605
06/07/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25566
07/07/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25611
07/07/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25652
10/07/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25669
10/07/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25600
11/07/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25603
12/07/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25606
01/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25627
02/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25628
03/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25629
04/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25630
07/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25426
07/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25631
08/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25632
09/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25633
10/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25672
10/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25670
11/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25653
14/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25552
14/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25636
15/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25742
15/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25637
16/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25638
17/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25767
18/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25744
21/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25367
21/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25641
22/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25567
22/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25642
23/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25743
23/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25643
24/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25644
24/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25779
25/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25568
25/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25595
28/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25624
29/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25772
29/08/2023,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/s/25647
